FID,COUNTRY,País
236,Brunei Darussalam,Brunei
237,Philippines,Filipinas
238,South Korea,Corea del Sur
239,Mongolia,Mongolia
240,North Korea,Corea del Norte
241,Guam,
242,Japan,Japón
243,Marshall Islands,Islas Marshall
244,Micronesia,"Micronesia, Estados Federados de"
245,Northern Mariana Islands,Islas Marianas del Norte
246,Palau,Palaos
247,Russian Federation,Rusia
248,Spain,España
249,Canarias,
